VARIABLE,FRACTION_SAMPLES_WITH_VALUES
diss_hydrogen,0.0140955364134691
nitrogen_tot,0.0140955364134691
project_name_user,0.0140955364134691
sulfur_tot,0.0133124510571652
carbonate,0.0125293657008614
dataset_description,0.0125293657008614
enzyme_activities,0.0125293657008614
location,0.0125293657008614
microbial_biomass_avg_cell_number,0.0125293657008614
microbial_biomass_platecounts,0.0125293657008614
org_carb_nitro_ratio,0.0125293657008614
resistivity,0.0125293657008614
sample_storage_temp2,0.0125293657008614
tot_carb,0.0125293657008614
microbial_biomass_FISH,0.0109631949882537
part_org_carbon_del13C,0.0109631949882537
ar,0.00939702427564605
c2h6,0.00939702427564605
c3h8,0.00939702427564605
c4,0.00939702427564605
c6h6,0.00939702427564605
co2,0.00939702427564605
h2s,0.00939702427564605
ic4h10,0.00939702427564605
n2,0.00939702427564605
nc4h10,0.00939702427564605
o2,0.00939702427564605
"Plate counts on M3-CH3OH",0.00861393891934221
"Plate counts on Marine Agar",0.00861393891934221
del18O_water,0.00861393891934221
"plate counts on M3-NH4Cl+vitamines",0.00861393891934221
soil_ch4_flux,0.00783085356303837
soil_co2_flux,0.00783085356303837
sulfate_red_rate,0.00783085356303837
description,0.0062646828504307
clone_library_results,0.00548159749412686
iron_III,0.00548159749412686
borehole_depth,0.00469851213782302
redox_potential,0.00469851213782302
functional_gene_assays,0.00313234142521535
methane_ox_rate,0.00313234142521535
single_cell,0.00313234142521535
arsenic,0.00234925606891151
boron,0.00234925606891151
microbial_biomass_intactpolarlipid,0.00234925606891151
aluminum,0.00156617071260767
antimony,0.00156617071260767
barium,0.00156617071260767
beryllium,0.00156617071260767
bismuth,0.00156617071260767
bromide,0.00156617071260767
ca_pool,0.00156617071260767
cadmium,0.00156617071260767
caesium,0.00156617071260767
carbon_ion,0.00156617071260767
cerium,0.00156617071260767
chromium,0.00156617071260767
cl_pool,0.00156617071260767
cobalt,0.00156617071260767
copper,0.00156617071260767
dysprosium,0.00156617071260767
erbium,0.00156617071260767
europium,0.00156617071260767
f_pool,0.00156617071260767
gadolinium,0.00156617071260767
gallium,0.00156617071260767
germanium,0.00156617071260767
gold,0.00156617071260767
hafnium,0.00156617071260767
holmium,0.00156617071260767
indium,0.00156617071260767
iodine,0.00156617071260767
iridium,0.00156617071260767
k_pool,0.00156617071260767
lanthanum,0.00156617071260767
lead,0.00156617071260767
lithium,0.00156617071260767
lutetium,0.00156617071260767
mercury,0.00156617071260767
molybdenum,0.00156617071260767
na_pool,0.00156617071260767
neodymium,0.00156617071260767
nickel,0.00156617071260767
niobium,0.00156617071260767
nitrate_pool,0.00156617071260767
osmium,0.00156617071260767
palladium,0.00156617071260767
ph_pool,0.00156617071260767
phosphorus,0.00156617071260767
platinum,0.00156617071260767
praseodymium,0.00156617071260767
rhenium,0.00156617071260767
rhodium,0.00156617071260767
rubidium,0.00156617071260767
ruthenium,0.00156617071260767
samarium,0.00156617071260767
scandium,0.00156617071260767
selenium,0.00156617071260767
silicon,0.00156617071260767
silver,0.00156617071260767
strontium,0.00156617071260767
sulfate_pool,0.00156617071260767
tantalum,0.00156617071260767
tellurium,0.00156617071260767
terbium,0.00156617071260767
thallium,0.00156617071260767
thorium,0.00156617071260767
thulium,0.00156617071260767
tin,0.00156617071260767
titanium,0.00156617071260767
tungsten,0.00156617071260767
uranium,0.00156617071260767
vanadium,0.00156617071260767
ytterbium,0.00156617071260767
yttrium,0.00156617071260767
zinc,0.00156617071260767
zirconium,0.00156617071260767
li_pool,0.000783085356303837
manganese_ug/L_,0.000783085356303837
mg_pool,0.000783085356303837
